"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
2007;"AD";"Long";0;0,0363636363636364;0,125;0,148148148148148;0,282352941176471;"STOC-rozo"
2008;"AD";"Long";0;0;0,0655737704918033;0,189171122994652;0,326729249011858;"STOC-rozo"
2009;"AD";"Long";0;0;0,0714285714285714;0,133333333333333;0,264935064935065;"STOC-rozo"
2010;"AD";"Long";0;0;0,129120879120879;0,170238095238095;0,218714285714286;"STOC-rozo"
2011;"AD";"Long";0;0;0;0,0576599326599327;0,185119047619048;"STOC-rozo"
2012;"AD";"Long";0;0,0128205128205128;0,121951219512195;0,149839743589744;0,190041208791209;"STOC-rozo"
2013;"AD";"Long";0;0;0,0576923076923077;0,130555555555556;0,248196248196248;"STOC-rozo"
2014;"AD";"Long";0,0488636363636364;0,102941176470588;0,138888888888889;0,15;0,206211180124224;"STOC-rozo"
2015;"AD";"Long";0;0;0,0777777777777778;0,16683569979716;0,217222222222222;"STOC-rozo"
2016;"AD";"Long";0,0776796973518285;0,138205828779599;0,212121212121212;0,272058823529412;0,39828431372549;"STOC-rozo"
2017;"AD";"Long";0,0470779220779221;0,0761904761904762;0,133333333333333;0,190909090909091;0,296365914786967;"STOC-rozo"
2018;"AD";"Long";0;0;0;0,0419407894736842;0,255178571428571;"STOC-rozo"
1992;"JUV";"Long";0,00454545454545453;0,0454545454545455;0,0909090909090909;0,136363636363636;0,177272727272727;"STOC-rozo"
1996;"JUV";"Long";0,363636363636364;0,363636363636364;0,363636363636364;0,363636363636364;0,363636363636364;"STOC-rozo"
1997;"JUV";"Long";0,250568181818182;0,255681818181818;0,261363636363636;0,267045454545455;0,272159090909091;"STOC-rozo"
2001;"JUV";"Long";0,00208333333333333;0,0208333333333333;0,0416666666666667;0,0625;0,08125;"STOC-rozo"
2002;"JUV";"Long";0;0;0;0;0;"STOC-rozo"
2004;"JUV";"Long";0;0;0;0;0;"STOC-rozo"
2005;"JUV";"Long";0;0;0;0,0178571428571429;0,0660714285714286;"STOC-rozo"
2006;"JUV";"Long";0;0;0,0192307692307692;0,0413461538461539;0,0491346153846154;"STOC-rozo"
2007;"JUV";"Long";0;0;0;0;0,0760869565217391;"STOC-rozo"
2008;"JUV";"Long";0;0;0;0,027027027027027;0,0436117936117936;"STOC-rozo"
2009;"JUV";"Long";0;0;0,04;0,067816091954023;0,0811781609195402;"STOC-rozo"
2010;"JUV";"Long";0;0;0;0,0138888888888889;0,0891666666666666;"STOC-rozo"
2011;"JUV";"Long";0;0;0;0;0;"STOC-rozo"
2012;"JUV";"Long";0;0;0;0,025;0,128928571428571;"STOC-rozo"
2013;"JUV";"Long";0,00197368421052631;0,0197368421052632;0,0425696594427245;0,0649509803921569;0,0814950980392157;"STOC-rozo"
2014;"JUV";"Long";0;0;0;0,0526315789473684;0,136666666666667;"STOC-rozo"
2015;"JUV";"Long";0;0;0,0273972602739726;0,0526315789473684;0,137362637362637;"STOC-rozo"
2016;"JUV";"Long";0;0;0;0;0;"STOC-rozo"
2017;"JUV";"Long";0;0;0;0,024390243902439;0,167076167076167;"STOC-rozo"
2018;"JUV";"Long";0;0;0;0,0174418604651163;0,0711378737541528;"STOC-rozo"
2003;"AD";"Court";0;0;0;0;0;"Aquatique"
2007;"AD";"Court";0;0;0;0,134615384615385;0,255769230769231;"Aquatique"
2008;"AD";"Court";0,00374999999999999;0,0375;0,075;0,1125;0,14625;"Aquatique"
2009;"AD";"Court";0,0869565217391304;0,0869565217391304;0,0869565217391304;0,0869565217391304;0,0869565217391304;"Aquatique"
2010;"AD";"Court";0,0714285714285714;0,0714285714285714;0,0714285714285714;0,0714285714285714;0,0714285714285714;"Aquatique"
2011;"AD";"Court";0,0833333333333333;0,0833333333333333;0,0833333333333333;0,0833333333333333;0,0833333333333333;"Aquatique"
2012;"AD";"Court";0;0;0;0;0;"Aquatique"
2014;"AD";"Court";0,181818181818182;0,181818181818182;0,181818181818182;0,181818181818182;0,181818181818182;"Aquatique"
2015;"AD";"Court";0;0;0;0,0208333333333333;0,0770833333333333;"Aquatique"
2016;"AD";"Court";0,0857954545454545;0,107954545454545;0,132575757575758;0,15719696969697;0,179356060606061;"Aquatique"
