"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
2015;"Terrestre";1,39285714285714;2,22222222222222;3;3;3,78461538461539;"GARGLA"
2016;"Terrestre";0,985608552631579;1,41858552631579;1,8609022556391;2,35714285714286;2,93571428571429;"GARGLA"
1989;"Terrestre";1,5375;1,875;2,25;2,625;2,9625;"HIPPOL"
1990;"Terrestre";0,676470588235294;1,68198529411765;2,4;3,25;4,85;"HIPPOL"
1991;"Terrestre";2,05377906976744;2,28106831395349;3;3,58455882352941;4,29595588235294;"HIPPOL"
1992;"Terrestre";0,976875;1,35;2,57142857142857;3,26363636363636;4,21285714285714;"HIPPOL"
1993;"Terrestre";0,695833333333333;1,54166666666667;1,91789215686275;2,80357142857143;25,3625;"HIPPOL"
1994;"Terrestre";0,912683823529412;1,32247340425532;1,95744680851064;2,75;3,109375;"HIPPOL"
1995;"Terrestre";0,692045454545455;1,25735294117647;2,22222222222222;2,76190476190476;9,99107142857143;"HIPPOL"
1996;"Terrestre";0,984375;2,01736111111111;3,36507936507937;4,62406015037594;5,30364372469636;"HIPPOL"
1997;"Terrestre";1,00257352941176;3,27573529411765;5,45882352941176;6,975;7,4475;"HIPPOL"
1998;"Terrestre";1,24895833333333;2,36458333333333;3,24603174603175;3,74725274725275;3,83626373626374;"HIPPOL"
1999;"Terrestre";0,969224924012158;1,07522796352584;1,19300911854103;1,31079027355623;1,41679331306991;"HIPPOL"
2000;"Terrestre";0,958476321207962;0,967741935483871;3,71428571428571;4;4,55384615384615;"HIPPOL"
2001;"Terrestre";1,04375;1,5625;2,2967032967033;2,49746963562753;5,45480769230769;"HIPPOL"
2002;"Terrestre";0,9775;2,28571428571429;4,28571428571429;5;13,08;"HIPPOL"
2003;"Terrestre";0,946703296703297;1,68600795755968;2,92857142857143;5,47058823529412;10,2341666666667;"HIPPOL"
2004;"Terrestre";1,03846153846154;2,18406593406593;3,33613445378151;6,96078431372549;13,3173076923077;"HIPPOL"
2005;"Terrestre";1,5187969924812;2,4;3,46153846153846;5,38461538461539;16,5897435897436;"HIPPOL"
2006;"Terrestre";1,32291666666667;2,34210526315789;4,73626373626374;6,1875;17,9807692307692;"HIPPOL"
2007;"Terrestre";1,10384615384615;2,10714285714286;3,875;7,03125;14,6931818181818;"HIPPOL"
2008;"Terrestre";1,34375;2,30769230769231;3;6,1875;10,3365384615385;"HIPPOL"
